invoice_no,invoice_date,customer,amount,status,remark
INV001,2024-01-15,北京科技有限公司,10000.00,normal,精确匹配测试
INV002,2024-01-20,上海贸易公司,5500.50,void,状态变更-已作废
INV003,2024-02-01,广州科技有限公司,8000.00,normal,模糊匹配-日期差异
INV004,2024-02-10,深圳市电子有限公司,13000.00,normal,金额变更-涨价
INV005,2024-02-15,杭州互联网有限公司,3200.00,normal,客户名称变更
INV006,2024-03-01,成都软件开发公司,15000.00,normal,无对应收款
INV007,2024-03-10,,7800.00,normal,缺客户-错误行
INV008,2024-03-15,武汉制造公司,abc,normal,金额非法-错误行
INV009,2024/03/20,南京服务公司,9500.00,normal,日期格式不同
INV010,2024-04-01,西安咨询公司,6000.00,normal,正常未匹配
INV011,2024-04-10,北京市科技有限公司,11000.00,normal,客户名模糊匹配
INV012,2024-04-15,天津物流公司,4500.00,normal,测试撤销用
INV013,invalid_date,重庆医药公司,7200.00,normal,日期格式错误
INV014,2024-05-01,苏州教育机构,8800.00,normal,正常数据
INV015,2024-05-10,青岛食品公司,-500.00,normal,金额负数-错误行
INV016,2024-05-15,厦门贸易有限公司,7500.00,normal,新增记录-v2版本新增
