payment_no,payment_date,customer,amount,remark
PAY001,2024-01-18,北京科技有限公司,10000.00,INV001精确匹配-日期差3天
PAY002,2024-01-22,上海贸易公司,5500.50,INV002精确匹配-日期差2天
PAY003,2024-03-15,广州科技有限公司,8000.00,INV003模糊匹配-日期差43天超窗口
PAY004,2024-02-12,深圳市电子有限公司,12500.00,INV004多候选1
PAY005,2024-02-15,深圳市电子有限公司,12500.00,INV004多候选2
PAY006,2024-02-20,深圳电子有限公司,12500.00,INV004多候选3-客户名差异
PAY007,2024-02-18,杭州互联网公司,3199.99,INV005金额接近-差0.01
PAY008,2024-03-25,南京服务公司,9500.00,INV009匹配-日期格式不同
PAY009,2024-04-15,北京科技有限公司,11000.00,INV011客户名模糊-北京市vs北京
PAY010,2024-04-20,天津物流公司,4500.00,INV012匹配-测试撤销用
PAY011,2024-05-05,苏州教育机构,8800.00,INV014精确匹配
PAY012,2024-05-15,武汉制造业公司,7000.00,无对应发票-客户名差异
PAY013,2024-06-01,西安咨询公司,6000.01,INV010金额接近-差0.01
PAY014,2024-06-10,,5000.00,缺客户-错误行
PAY015,2024-06-15,长沙电子公司,invalid,金额非法-错误行
PAY016,2024-02-08,深圳市电子有限公司,12499.99,INV004多候选4-金额接近
PAY017,2024-07-01,哈尔滨贸易公司,3000.00,无对应发票-日期新
