invoice_no,invoice_date,customer,amount,status
INV001,2024-01-15,北京科技有限公司,10000.00,normal
INV002,2024-01-20,上海贸易公司,5500.50,invalid
INV003,2024-02-01,广州科技有限公司,8000.00,normal
INV004,2024-02-10,深圳市电子有限公司,12600.00,normal
INV005,2024-02-15,杭州互联网公司,3200.00,normal
INV006,2024-03-01,成都软件开发公司,15000.00,normal
INV009,2024-03-20,南京服务公司,9500.00,normal
INV010,2024-04-01,西安咨询公司,6000.00,normal
INV011,2024-04-10,北京市科技有限公司,11000.00,normal
INV012,2024-04-15,天津物流公司,4500.00,normal
INV014,2024-05-01,苏州教育机构,8800.00,normal
INV016,2024-05-18,新进客户公司,2300.00,normal
